scope,through_week,series_type,model_name,model_family,fingerprint,games,margin_games,margin_mae,su_wins,su_losses,su_accuracy,brier_games,brier_score,ats_wins,ats_losses,ats_pushes,ats_accuracy
cumulative,2,model,scientific_F4_M1,linear,F4,96,96,18.358872046243942,65,31,0.6770833333333334,96,0.211754277294242,41,54,1,0.43157894736842106
cumulative,2,model,scientific_F4_M10,knn,F4,96,96,17.96242474650623,63,33,0.65625,96,0.21548396645835735,45,50,1,0.47368421052631576
cumulative,2,model,scientific_F4_M2,spline,F4,96,96,16.9278081232531,68,28,0.7083333333333334,96,0.18732599950627563,43,52,1,0.45263157894736844
cumulative,2,model,scientific_F4_M3,tree,F4,96,96,16.698177032029687,66,30,0.6875,96,0.18932227709086522,43,52,1,0.45263157894736844
cumulative,2,model,scientific_F4_M4,boosted,F4,96,96,16.184496708113496,67,29,0.6979166666666666,96,0.18199981663546017,41,54,1,0.43157894736842106
cumulative,2,model,scientific_F4_M5,neural,F4,96,96,20.352953283737104,63,33,0.65625,96,0.24270325701066064,44,51,1,0.4631578947368421
cumulative,2,model,scientific_F5_M1,linear,F5,96,96,18.0222695241802,67,29,0.6979166666666666,96,0.22460295969105615,42,53,1,0.4421052631578947
cumulative,2,model,scientific_F5_M10,knn,F5,96,96,16.504427083333333,65,31,0.6770833333333334,96,0.20679934455113547,43,52,1,0.45263157894736844
cumulative,2,model,scientific_F5_M2,spline,F5,96,96,16.80303328474797,65,31,0.6770833333333334,96,0.19828852080619408,43,52,1,0.45263157894736844
cumulative,2,model,scientific_F5_M3,tree,F5,96,96,15.975394906106198,68,28,0.7083333333333334,96,0.17615205909816378,45,50,1,0.47368421052631576
cumulative,2,model,scientific_F5_M4,boosted,F5,96,96,16.042020606350608,70,26,0.7291666666666666,96,0.17565265980698874,44,51,1,0.4631578947368421
cumulative,2,model,scientific_F5_M5,neural,F5,96,96,16.752662292371195,72,24,0.75,96,0.18059788216122966,48,47,1,0.5052631578947369
cumulative,2,model,scientific_F6_M1,linear,F6,96,96,17.887047445376577,66,30,0.6875,96,0.2193851505830635,43,52,1,0.45263157894736844
cumulative,2,model,scientific_F6_M10,knn,F6,96,96,15.891666666666666,68,28,0.7083333333333334,96,0.19738582656695347,42,53,1,0.4421052631578947
cumulative,2,model,scientific_F6_M2,spline,F6,96,96,16.34808081596849,67,29,0.6979166666666666,96,0.19414581755884375,46,49,1,0.4842105263157895
cumulative,2,model,scientific_F6_M3,tree,F6,96,96,15.899841085821768,67,29,0.6979166666666666,96,0.1775691358382082,43,52,1,0.45263157894736844
cumulative,2,model,scientific_F6_M4,boosted,F6,96,96,15.374925342635969,69,27,0.71875,96,0.16875736332554325,45,50,1,0.47368421052631576
cumulative,2,model,scientific_F6_M5,neural,F6,96,96,16.086817912757397,73,23,0.7604166666666666,96,0.17943633695231045,44,51,1,0.4631578947368421
cumulative,2,vegas,Vegas closing-line baseline,market,evaluation-only,96,96,12.166666666666666,81,15,0.84375,89,0.12438485619310617,,,,0.5
cumulative,3,consensus,Scientific consensus,consensus,F0–F6,153,153,14.566732026143791,113,40,0.738562091503268,153,0.17486762274509804,74,76,3,0.49333333333333335
cumulative,3,model,scientific_F0_M1,linear,F0,153,153,14.120704207871123,122,31,0.7973856209150327,153,0.16685074116941,75,75,3,0.5
cumulative,3,model,scientific_F0_M10,knn,F0,153,153,15.242615849475989,115,38,0.7516339869281046,153,0.17962342494528338,85,65,3,0.5666666666666667
cumulative,3,model,scientific_F0_M2,spline,F0,153,153,13.900142667777722,122,31,0.7973856209150327,153,0.16474996114803883,76,74,3,0.5066666666666667
cumulative,3,model,scientific_F0_M3,tree,F0,153,153,15.623392297789026,113,40,0.738562091503268,153,0.18326648545766744,84,66,3,0.56
cumulative,3,model,scientific_F0_M4,boosted,F0,153,153,13.925713905810143,122,31,0.7973856209150327,153,0.16596527001428582,74,76,3,0.49333333333333335
cumulative,3,model,scientific_F0_M5,neural,F0,153,153,14.032245178822599,120,33,0.7843137254901961,153,0.1634776379382343,78,72,3,0.52
cumulative,3,model,scientific_F1_M1,linear,F1,153,153,16.453273523690928,111,42,0.7254901960784313,153,0.19725677722174115,68,82,3,0.4533333333333333
cumulative,3,model,scientific_F1_M10,knn,F1,153,153,16.427442172464133,103,50,0.673202614379085,153,0.20265182741879756,68,82,3,0.4533333333333333
cumulative,3,model,scientific_F1_M2,spline,F1,153,153,15.872674004900677,109,44,0.7124183006535948,153,0.18949561513084298,70,80,3,0.4666666666666667
cumulative,3,model,scientific_F1_M3,tree,F1,153,153,15.476872767049628,111,42,0.7254901960784313,153,0.17968048013142565,70,80,3,0.4666666666666667
cumulative,3,model,scientific_F1_M4,boosted,F1,153,153,15.407014125398321,115,38,0.7516339869281046,153,0.17949076780204287,68,82,3,0.4533333333333333
cumulative,3,model,scientific_F1_M5,neural,F1,153,153,15.900400001993951,109,44,0.7124183006535948,153,0.18289516332155512,71,79,3,0.47333333333333333
cumulative,3,model,scientific_F2_M1,linear,F2,153,153,16.347645583652202,112,41,0.7320261437908496,153,0.19885942993696507,69,81,3,0.46
cumulative,3,model,scientific_F2_M10,knn,F2,153,153,18.10649037724322,91,62,0.5947712418300654,153,0.2172222294673991,70,80,3,0.4666666666666667
cumulative,3,model,scientific_F2_M2,spline,F2,153,153,15.55539306646207,109,44,0.7124183006535948,153,0.18818785934729054,69,81,3,0.46
cumulative,3,model,scientific_F2_M3,tree,F2,153,153,16.1989202078315,104,49,0.6797385620915033,153,0.19583748201243914,65,85,3,0.43333333333333335
cumulative,3,model,scientific_F2_M4,boosted,F2,153,153,15.127406941407603,111,42,0.7254901960784313,153,0.17885950046785656,69,81,3,0.46
cumulative,3,model,scientific_F2_M5,neural,F2,153,153,17.656506426583707,106,47,0.6928104575163399,153,0.2097264666837254,75,75,3,0.5
cumulative,3,model,scientific_F3_M1,linear,F3,153,153,15.595174025532721,113,40,0.738562091503268,153,0.192784167100201,74,76,3,0.49333333333333335
cumulative,3,model,scientific_F3_M10,knn,F3,153,153,16.538017685221277,101,52,0.6601307189542484,153,0.2091762062941817,74,76,3,0.49333333333333335
cumulative,3,model,scientific_F3_M2,spline,F3,153,153,14.914523219308313,111,42,0.7254901960784313,153,0.17852882569443645,77,73,3,0.5133333333333333
cumulative,3,model,scientific_F3_M3,tree,F3,153,153,14.918753971592446,110,43,0.7189542483660131,153,0.17789695915150006,71,79,3,0.47333333333333333
cumulative,3,model,scientific_F3_M4,boosted,F3,153,153,14.43472202217817,113,40,0.738562091503268,153,0.17015337462357352,73,77,3,0.4866666666666667
cumulative,3,model,scientific_F3_M5,neural,F3,153,153,17.596694328426537,108,45,0.7058823529411765,153,0.19985055014236122,73,77,3,0.4866666666666667
cumulative,3,model,scientific_F4_M1,linear,F4,153,153,15.519118428226149,111,42,0.7254901960784313,153,0.1894648497046893,74,76,3,0.49333333333333335
cumulative,3,model,scientific_F4_M10,knn,F4,153,153,16.308164797231814,102,51,0.6666666666666666,153,0.2037817083755353,73,77,3,0.4866666666666667
cumulative,3,model,scientific_F4_M2,spline,F4,153,153,14.730946531136256,114,39,0.7450980392156863,153,0.17411935838896514,77,73,3,0.5133333333333333
cumulative,3,model,scientific_F4_M3,tree,F4,153,153,14.871936494353047,110,43,0.7189542483660131,153,0.17689559944594235,68,82,3,0.4533333333333333
cumulative,3,model,scientific_F4_M4,boosted,F4,153,153,14.481882019369152,112,41,0.7320261437908496,153,0.1706664658353742,67,83,3,0.44666666666666666
cumulative,3,model,scientific_F4_M5,neural,F4,153,153,18.41898641282437,100,53,0.6535947712418301,153,0.23025352288176926,76,74,3,0.5066666666666667
cumulative,3,model,scientific_F5_M1,linear,F5,153,153,15.40047731977927,111,42,0.7254901960784313,153,0.19255096087077653,69,81,3,0.46
cumulative,3,model,scientific_F5_M10,knn,F5,153,153,14.963888888888889,104,49,0.6797385620915033,153,0.20026014665772698,71,78,3,0.47651006711409394
cumulative,3,model,scientific_F5_M2,spline,F5,153,153,14.625726301298608,108,45,0.7058823529411765,153,0.18675912127247296,74,76,3,0.49333333333333335
cumulative,3,model,scientific_F5_M3,tree,F5,153,153,14.325593128414845,112,41,0.7320261437908496,153,0.167483359695682,69,81,3,0.46
cumulative,3,model,scientific_F5_M4,boosted,F5,153,153,14.395903694955146,115,38,0.7516339869281046,153,0.1666774179835447,71,79,3,0.47333333333333333
cumulative,3,model,scientific_F5_M5,neural,F5,153,153,16.348135223186095,109,44,0.7124183006535948,153,0.19293054404709636,83,67,3,0.5533333333333333
cumulative,3,model,scientific_F6_M1,linear,F6,153,153,15.194177887190577,111,42,0.7254901960784313,153,0.18756646136525554,73,77,3,0.4866666666666667
cumulative,3,model,scientific_F6_M10,knn,F6,153,153,14.677124183006535,111,42,0.7254901960784313,153,0.19353978942194802,72,78,3,0.48
cumulative,3,model,scientific_F6_M2,spline,F6,153,153,14.143060372264566,111,42,0.7254901960784313,153,0.18419039163729706,79,71,3,0.5266666666666666
cumulative,3,model,scientific_F6_M3,tree,F6,153,153,14.166495142433567,109,44,0.7124183006535948,153,0.16926378935950584,71,79,3,0.47333333333333333
cumulative,3,model,scientific_F6_M4,boosted,F6,153,153,13.642407499408753,116,37,0.7581699346405228,153,0.1599760330150393,75,75,3,0.5
cumulative,3,model,scientific_F6_M5,neural,F6,153,153,14.815751462980034,117,36,0.7647058823529411,153,0.17677507870831594,76,74,3,0.5066666666666667
cumulative,3,vegas,Vegas closing-line baseline,market,evaluation-only,153,153,10.928104575163399,131,22,0.8562091503267973,142,0.12177081936222924,,,,0.5
weekly,0,consensus,Scientific consensus,consensus,F0–F6,8,8,12.648750000000001,5,3,0.625,8,0.20519212375,4,4,0,0.5
weekly,0,model,scientific_F0_M1,linear,F0,8,8,10.057889959816688,5,3,0.625,8,0.18644137031882158,4,4,0,0.5
weekly,0,model,scientific_F0_M10,knn,F0,8,8,11.450725585314798,7,1,0.875,8,0.1667736802950074,6,2,0,0.75
weekly,0,model,scientific_F0_M2,spline,F0,8,8,10.612513782151067,5,3,0.625,8,0.1844113121789424,4,4,0,0.5
weekly,0,model,scientific_F0_M3,tree,F0,8,8,10.391322581885774,6,2,0.75,8,0.1731396748597015,5,3,0,0.625
weekly,0,model,scientific_F0_M4,boosted,F0,8,8,10.966700632948465,4,4,0.5,8,0.18964078186694652,4,4,0,0.5
weekly,0,model,scientific_F0_M5,neural,F0,8,8,10.278090137988329,4,4,0.5,8,0.1913153171647308,4,4,0,0.5
weekly,0,model,scientific_F1_M1,linear,F1,8,8,12.915933215045103,4,4,0.5,8,0.20143590334815067,5,3,0,0.625
weekly,0,model,scientific_F1_M10,knn,F1,8,8,12.038306547964098,5,3,0.625,8,0.2159192680838382,3,5,0,0.375
weekly,0,model,scientific_F1_M2,spline,F1,8,8,13.777254206236327,5,3,0.625,8,0.20750441041561274,5,3,0,0.625
